NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,FLUX_APER,FLUXERR_APER,FLAGS,NITER_MODEL
16198,5909.2100,4264.3872,220.0922379,+40.0214017,0.984687,0.9504762,0,10
16199,7638.2246,4265.8857,219.9354545,+40.0209404,0.6406139,0.7703599,0,9
16200,767.9297,4245.8120,220.5584548,+40.0205447,1.641139,1.222645,2,85
16201,8259.4434,4183.7529,219.8791719,+40.0149822,58.13925,7.238375,0,129
16202,6286.9409,4264.4478,220.0579857,+40.0213004,0.9551292,0.9364034,0,10
16203,7534.7051,4244.2192,219.9448520,+40.0194756,2.977992,1.642922,0,55
16204,6869.6401,4269.3081,220.0051456,+40.0214554,0.315305,0.548095,0,6
16205,7941.2417,4235.6509,219.9079945,+40.0187200,7.054391,2.524214,0,60
16206,1339.1156,4245.6040,220.5066594,+40.0205745,2.538661,1.517695,0,56
16207,6594.2993,4250.4414,220.0301207,+40.0202345,2.273564,1.436871,0,49
16208,1255.2795,4253.0156,220.5142623,+40.0210841,1.947367,1.330693,0,68
16209,3109.1772,4250.5776,220.3461488,+40.0209102,3.074648,1.669222,0,76
16210,6949.0000,4267.9897,219.9979500,+40.0213372,0.8671194,0.8929987,0,13
16211,6234.3081,4270.6655,220.0627560,+40.0217475,0.3671938,0.5892479,0,7
16212,1420.4640,4271.4614,220.4992844,+40.0223745,0.6081338,0.7511555,0,9
16213,4600.7217,4243.9302,220.2108965,+40.0202685,4.134738,1.934267,0,44
16214,7893.3521,4264.6758,219.9123214,+40.0207550,1.138897,1.020972,2,11
16215,6932.5156,4274.0000,219.9994422,+40.0217601,0.9534122,0.9355326,0,9
16216,1114.7572,4268.6035,220.5270065,+40.0221570,0.8929312,0.9059804,0,14
16217,520.8378,4202.2461,220.5808546,+40.0174931,3.810263,1.857158,2,75
16218,5474.2153,4250.5801,220.1316872,+40.0205519,2.969958,1.640725,0,27
16219,1883.1139,4260.8320,220.4573297,+40.0216525,1.138406,1.020751,0,10
16220,3223.8372,4247.3721,220.3357516,+40.0206793,3.014845,1.653005,0,134
16221,7921.3076,4258.5596,219.9097898,+40.0203189,2.058194,1.367691,0,50
16222,4789.0010,4268.6807,220.1938175,+40.0219534,0.8424219,0.8804762,0,12
16223,7990.4897,4263.4033,219.9035141,+40.0206269,1.426237,1.140704,0,12
16224,5775.2920,4272.0176,220.1043790,+40.0219665,1.011255,0.9629937,0,9
16225,6.3385,4256.8638,220.6275180,+40.0212175,2.059515,1.368132,18,8
16226,7454.6416,4253.5986,219.9521071,+40.0201572,3.907557,1.880604,0,35
16227,5889.7783,4270.7529,220.0939978,+40.0218489,0.8676558,0.8933298,0,13
16228,6152.9878,4270.5312,220.0701301,+40.0217614,0.9996208,0.957558,0,18
16229,7872.7876,4268.5703,219.9141840,+40.0210338,1.057665,0.98448,2,9
16230,7891.4990,4267.4648,219.9124879,+40.0209494,1.00554,0.9603556,2,12
16231,601.6463,4275.6885,220.5735377,+40.0226023,0.7980148,0.8574809,0,9
16232,5145.0464,4260.4351,220.1615332,+40.0213098,2.618636,1.541262,0,29
16233,7384.5093,4260.2354,219.9584631,+40.0206442,1.703655,1.245455,0,83
16234,4108.9243,4266.3496,220.2554883,+40.0219021,0.8271312,0.872647,0,13
16235,1302.6543,4251.2085,220.5099662,+40.0209615,2.835169,1.603295,0,53
16236,2603.8840,4261.7017,220.3919688,+40.0217080,1.334667,1.104005,0,14
16237,4823.7075,4249.5474,220.1906749,+40.0206182,2.145155,1.396047,3,52
16238,143.4198,4269.7236,220.6150898,+40.0221306,1.12106,1.013071,0,9
16239,4515.9761,4255.3340,220.2185786,+40.0210749,2.107272,1.383757,1,57
16240,29.3530,4256.0435,220.6254309,+40.0211640,2.845785,1.60628,0,10
16241,1508.8872,4265.7695,220.4912656,+40.0219835,1.702348,1.244985,2,96
16242,5361.8843,4265.5435,220.1418688,+40.0216169,1.476565,1.160444,2,8
16243,6557.8726,4263.9888,220.0334183,+40.0211867,1.906476,1.316778,0,128
16244,2736.5454,4271.5244,220.3799382,+40.0223853,1.201837,1.048381,0,9
16245,5367.3462,4245.6812,220.1413795,+40.0202364,4.560015,2.030884,0,57
16246,8169.8569,4257.0981,219.8872537,+40.0201138,2.258581,1.432183,0,169
16247,6400.1509,4244.3945,220.0477278,+40.0198743,4.74322,2.071114,0,31
16248,2515.5869,4246.9907,220.3999763,+40.0206890,3.845625,1.865697,0,9
16249,605.5171,4274.5049,220.5731865,+40.0225205,0.6652817,0.7847202,2,9
16250,3658.4978,4276.9810,220.2963323,+40.0226957,0.7783853,0.8470917,0,19
16251,6083.9863,4272.2788,220.0763865,+40.0219021,1.345812,1.108509,0,12
16252,8121.6436,4269.8687,219.8916183,+40.0210211,1.705127,1.245987,0,11
16253,3523.7144,4275.7759,220.3085550,+40.0226258,0.6544935,0.7784386,0,8
16254,7084.4297,4251.4956,219.9856772,+40.0201452,5.507861,2.231224,0,119
16255,163.3777,4263.2617,220.6132788,+40.0216847,1.600972,1.207749,0,13
16256,5427.3086,4267.6641,220.1359355,+40.0217492,1.42834,1.141574,0,32
16257,599.6425,4280.2896,220.5737200,+40.0229216,0.589047,0.7396154,0,11
16258,1283.0691,4270.4375,220.5117437,+40.0222957,1.524405,1.178846,3,24
16259,365.6767,4273.4639,220.5949357,+40.0224201,1.099275,1.003355,0,9
16260,1867.4966,4242.1309,220.4587455,+40.0203536,4.142703,1.936123,3,47
16261,844.4373,4263.2227,220.5515192,+40.0217611,1.375035,1.120325,0,10
16262,4259.3442,4282.7026,220.2418448,+40.0230161,0.5810543,0.7347541,0,10
16263,1802.7422,4270.8555,220.4646183,+40.0223469,1.582278,1.200774,0,84
16264,1451.9001,4278.1841,220.4964342,+40.0228429,1.007723,0.9613358,0,9
16265,6779.5317,4275.7651,220.0133137,+40.0219336,0.8724303,0.8957248,0,13
16266,220.9818,4270.9429,220.6080565,+40.0222260,1.415211,1.136356,1,43
16267,3224.4290,4273.3589,220.3356954,+40.0224839,1.156924,1.028898,0,9
16268,1017.2956,4283.6499,220.5358462,+40.0231945,0.7088645,0.8093204,0,10
16269,6781.2432,4245.2261,220.0131716,+40.0198123,7.950939,2.679434,2,36
16270,5932.6929,4281.3428,220.0901026,+40.0225729,1.095748,1.001766,2,12
16271,4253.0610,4281.9536,220.2424147,+40.0229650,0.4805119,0.6702623,0,9
16272,8234.8018,4281.8027,219.8813510,+40.0218015,0.3729748,0.5935175,0,12
16273,5834.7588,4259.2119,220.0989908,+40.0210619,2.443856,1.4893,0,37
16274,852.3660,4276.2227,220.5508017,+40.0226646,1.228707,1.059859,2,9
16275,680.8228,4283.2393,220.5663587,+40.0231351,0.483006,0.6719425,0,10
16276,1082.8964,4271.1714,220.5298960,+40.0223330,1.454338,1.151755,0,11
16277,3078.4609,4277.7856,220.3489318,+40.0228017,0.9651329,0.9411812,0,7
16278,4282.6470,4277.6855,220.2397326,+40.0226642,0.8296735,0.8739536,0,13
16279,600.8254,4457.7090,220.5736381,+40.0352425,227.7336,14.32417,2,67
16280,1713.6215,4279.3013,220.4727004,+40.0229309,0.9602738,0.9388438,0,11
16281,3477.3025,4286.6235,220.3127625,+40.0233835,0.2584702,0.4991716,0,9
16282,4364.2651,4249.3711,220.2323370,+40.0206854,2851.106,50.68117,0,40
16283,8278.4209,4279.8940,219.8773969,+40.0216501,0.5982787,0.7451887,0,14
16284,3957.3459,4287.6763,220.2692301,+40.0234033,0.5861242,0.7378388,0,6
16285,7048.1152,4277.8105,219.9889581,+40.0219851,1.198594,1.046971,0,9
16286,991.1312,4282.1357,220.5382187,+40.0230872,0.6659555,0.7850698,0,9
16287,5238.6338,4269.0063,220.1530442,+40.0218849,2.58104,1.530232,1,63
16288,2975.7891,4255.5220,220.3582442,+40.0212620,5.920224,2.31298,0,72
16289,2943.5979,4271.0571,220.3611622,+40.0223426,2.32725,1.4536,0,112
16290,5070.1636,4279.1270,220.1683185,+40.0226235,1.255106,1.071004,2,8
16291,8356.6426,4288.6758,219.8702991,+40.0222259,0.2512779,0.4926639,0,9
16292,4027.9399,4283.4629,220.2628291,+40.0231015,1.231465,1.061035,0,14
16293,211.2677,4259.5073,220.6089354,+40.0214306,4.239214,1.958451,0,72
16294,4228.2656,4284.6094,220.2446627,+40.0231531,0.8466853,0.8826736,0,12
16295,1370.5322,4279.7388,220.5038130,+40.0229467,1.452982,1.151246,0,8
16296,5234.1655,4279.6963,220.1534464,+40.0226282,1.610388,1.211259,3,50
16297,6529.0620,4264.4727,220.0360306,+40.0212292,5.24946,2.178442,0,80
16298,3197.1306,4273.0640,220.3381709,+40.0224655,2.423032,1.482996,0,44
16299,1491.1553,4277.7305,220.4928743,+40.0228133,0.9189405,0.9188076,0,9
16300,8366.9590,4283.4785,219.8693666,+40.0218604,0.6966147,0.8024476,2,9
16301,232.8527,4273.9194,220.6069806,+40.0224344,2.20181,1.414203,0,61
16302,7419.9038,4286.0459,219.9552411,+40.0224233,1.319029,1.097576,2,30
16303,803.5707,4289.1821,220.5552282,+40.0235600,0.8137618,0.8657136,0,10
16304,8221.6924,4285.4395,219.8825377,+40.0220597,1.214908,1.053974,0,9
16305,3303.2979,4282.0664,220.3285424,+40.0230824,1.156838,1.028877,0,12
16306,7818.6191,4270.1064,219.9190949,+40.0211623,1.630897,1.218849,0,30
16307,7072.2070,4272.4209,219.9867759,+40.0216025,3.888429,1.876014,0,47
16308,5606.3535,4236.0986,220.1197098,+40.0195145,2.631576,1.545042,0,9
16309,1113.9741,4286.3013,220.5270792,+40.0233860,1.333152,1.103341,0,9
16310,4293.5181,4293.5161,220.2387436,+40.0237619,0.944665,0.931374,0,9
16311,3160.1458,4277.7617,220.3415244,+40.0227944,1.295109,1.087711,0,10
16312,894.3347,4278.1108,220.5469961,+40.0227995,1.556982,1.191254,0,30
16313,5467.0391,4286.0957,220.1323271,+40.0230199,1.237228,1.063467,0,94
16314,1948.2174,4279.3335,220.4514264,+40.0229384,1.663611,1.23089,0,8
16315,6277.8457,4275.4614,220.0588063,+40.0220679,1.713567,1.249045,0,9
16316,657.6758,4293.3408,220.5684592,+40.0238342,0.7106398,0.8103029,0,10
16317,5335.1523,4281.7280,220.1442881,+40.0227469,1.513342,1.174611,0,44
16318,6634.9141,4254.2905,220.0264363,+40.0204890,15.96628,3.794794,0,121
16319,3450.9619,4267.4712,220.3151534,+40.0220559,2.380776,1.470094,0,32
16320,3947.8696,4239.2920,220.2700975,+40.0200446,36.64896,5.747477,3,31
16321,1880.1780,4277.0728,220.4575964,+40.0227803,2.437881,1.4875,0,8
16322,6313.8809,4284.8955,220.0555350,+40.0227125,1.021937,0.968029,0,12
16323,1290.6548,4265.7021,220.5110555,+40.0219673,2.610258,1.538823,2,32
16324,1024.6969,4294.6484,220.5351761,+40.0239588,0.775646,0.8456633,0,12
16325,7993.1719,4285.1348,219.9032592,+40.0221348,1.322144,1.098846,0,9
16326,5034.4072,4283.1665,220.1715599,+40.0229114,1.0817,0.9954166,0,41
16327,6548.8994,4285.6895,220.0342231,+40.0226964,1.202496,1.048692,0,8
16328,5998.0151,4273.9604,220.0841817,+40.0220426,4.227178,1.955665,0,71
16329,843.9748,4296.3188,220.5515651,+40.0240593,0.5633131,0.7237614,0,8
16330,379.3473,4291.9082,220.5936990,+40.0237026,0.9958528,0.9557925,0,9
16331,334.9978,4291.1299,220.5977207,+40.0236430,0.8318551,0.8750678,0,9
16332,7657.0010,4284.7368,219.9337424,+40.0222421,1.598984,1.207008,3,8
16333,4448.1294,4313.1611,220.2247187,+40.0251018,7533.671,82.3839,0,46
16334,4270.6909,4276.8638,220.2408170,+40.0226089,1.51827,1.176521,2,9
16335,5049.9038,4292.2549,220.1701522,+40.0235393,1.179131,1.038587,0,20
16336,7140.6670,4277.3086,219.9805659,+40.0219179,1.41702,1.137103,0,6
16337,3690.3247,4297.3086,220.2934432,+40.0241039,0.8807335,0.8999323,0,12
16338,3067.4685,4277.2559,220.3499287,+40.0227656,2.037986,1.361022,0,35
16339,3441.3972,4295.2314,220.3160175,+40.0239846,0.8675326,0.893249,0,15
16340,405.8624,4271.8745,220.5912913,+40.0223147,2.787671,1.5899,0,9
16341,2395.1709,4287.8208,220.4108947,+40.0235270,1.55614,1.190915,2,7
16342,5121.6377,4290.1997,220.1636477,+40.0233817,0.6717959,0.7883978,0,9
16343,3787.1179,4282.9233,220.2846677,+40.0230940,2.009479,1.35157,0,9
16344,6312.0942,4290.1426,220.0556949,+40.0230773,1.005741,0.9604412,0,9
16345,1645.4923,4294.9668,220.4788793,+40.0240166,0.7111284,0.8105435,0,12
16346,5530.1060,4273.2603,220.1266121,+40.0221136,2.001548,1.348921,2,61
16347,7915.5015,4292.5005,219.9102982,+40.0226782,1.142345,1.022544,2,12
16348,5109.5493,4288.6631,220.1647443,+40.0232775,1.037212,0.9750896,0,9
16349,3932.4124,4241.1396,220.2714988,+40.0201748,52.45127,6.875298,3,106
