_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,mode,q_mode,class,SDSS12,m_SDSS!2,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,zph,e_zph,<zph>
220.37865600,+39.66203800,220.378656,+39.662038,1,+,3,J144130.87+393943.3,,2003.2317,3,23.049,0.519,22.350,0.126,21.856,0.127,22.106,0.235,21.239,0.350,,0.3299,0.1226,0.3594
220.38677600,+39.67494700,220.386776,+39.674947,1,+,3,J144132.82+394029.8,,2003.2317,3,23.920,0.722,23.059,0.182,21.554,0.076,21.171,0.080,20.525,0.151,,0.4080,0.0855,0.4077
220.39308000,+39.67704500,220.393080,+39.677045,1,+,3,J144134.33+394037.3,,2003.2317,3,22.441,0.367,21.991,0.113,21.182,0.083,21.085,0.117,20.590,0.253,,0.3685,0.0833,0.3630
220.38176500,+39.65648400,220.381765,+39.656484,1,+,3,J144131.62+393923.3,,2003.2317,3,23.764,0.631,23.241,0.196,22.120,0.118,21.714,0.120,21.525,0.319,,0.3492,0.0975,0.4431
220.38440300,+39.65374300,220.384403,+39.653743,1,,3,J144132.25+393913.4,,2003.2317,3,23.557,0.626,22.127,0.088,21.521,0.110,21.286,0.095,21.437,0.344,,0.2775,0.0875,0.2203
220.39331500,+39.66469100,220.393315,+39.664691,1,+,3,J144134.39+393952.8,,2003.2317,3,21.962,0.321,21.079,0.065,20.525,0.063,20.416,0.090,20.063,0.216,,0.2503,0.0789,0.2586
220.39908500,+39.66905200,220.399085,+39.669052,1,+,3,J144135.78+394008.5,,2003.2317,3,22.467,0.276,22.695,0.145,22.141,0.141,21.988,0.181,21.824,0.466,,0.5905,0.1294,0.4774
220.39617600,+39.66268500,220.396176,+39.662685,1,,3,J144135.08+393945.6,,2003.2317,3,23.472,0.583,22.981,0.180,23.652,0.473,23.755,0.663,22.141,0.547,,-9999.0000,-9999.0000,0.4293
220.40172900,+39.67161600,220.401729,+39.671616,1,+,6,J144136.41+394017.8,,2003.2317,3,24.787,0.682,22.467,0.089,21.102,0.043,20.270,0.031,19.825,0.066,,,,
220.37759000,+39.67167000,220.377590,+39.671670,1,+,3,J144130.62+394018.0,,2003.2317,3,23.498,0.878,24.662,0.855,21.826,0.149,20.472,0.069,19.954,0.145,,0.8991,0.0388,0.6135
220.37395800,+39.65778500,220.373958,+39.657785,1,+,6,J144129.74+393928.0,,2003.2317,3,25.628,0.478,23.718,0.250,22.045,0.098,21.327,0.075,20.853,0.162,,,,
220.37314800,+39.67295200,220.373148,+39.672952,1,,3,J144129.55+394022.6,,2003.2317,3,25.852,0.565,24.700,0.613,22.801,0.261,21.889,0.166,21.871,0.499,,0.4861,0.0478,0.4905
220.39239900,+39.66836700,220.392399,+39.668367,1,,3,J144134.17+394006.1,,2003.2317,3,23.515,0.755,24.015,0.510,22.496,0.232,21.499,0.156,22.128,0.700,,0.4820,0.1212,0.4393
220.39270100,+39.68110900,220.392701,+39.681109,1,,3,J144134.24+394051.9,,2003.2317,3,25.458,0.735,24.445,0.541,24.112,0.641,23.573,0.613,20.705,0.194,,-9999.0000,-9999.0000,0.5001
220.31683400,+39.65406300,220.316834,+39.654063,1,+,6,J144116.04+393914.6,*,2003.2260,3,17.809,0.012,16.071,0.004,15.423,0.003,15.201,0.003,15.089,0.005,,,,
220.31771800,+39.65634300,220.317718,+39.656343,1,+,3,J144116.25+393922.8,,2003.2260,3,20.530,0.133,19.494,0.027,18.402,0.016,17.987,0.015,17.618,0.040,,0.3005,0.0288,0.2864
220.31749800,+39.65778700,220.317498,+39.657787,1,+,6,J144116.19+393928.0,,2003.2260,3,22.259,0.242,21.278,0.041,20.459,0.033,20.171,0.034,19.840,0.099,,,,
220.31302600,+39.65312500,220.313026,+39.653125,1,+,6,J144115.12+393911.2,,2003.2260,3,23.648,0.733,23.617,0.286,22.424,0.175,21.728,0.131,21.899,0.556,,,,
220.31437800,+39.65566600,220.314378,+39.655666,1,+,6,J144115.45+393920.3,,2003.2260,3,24.189,1.051,23.074,0.201,22.399,0.187,22.945,0.409,21.782,0.573,,,,
220.31466600,+39.65944500,220.314666,+39.659445,1,+,3,J144115.51+393934.0,,2003.2260,3,21.355,0.150,20.643,0.031,19.710,0.022,19.356,0.023,18.922,0.064,,0.3476,0.0505,0.3456
220.30141600,+39.64590000,220.301416,+39.645900,1,+,3,J144112.33+393845.2,,2003.2260,3,23.042,0.543,22.724,0.160,21.976,0.138,20.905,0.076,20.907,0.310,,0.7348,0.0649,0.6785
220.31843100,+39.66413500,220.318431,+39.664135,1,+,3,J144116.42+393950.8,,2003.2260,3,22.907,0.708,21.338,0.071,20.574,0.059,20.303,0.066,19.637,0.155,,0.3402,0.1209,0.3414
220.31720900,+39.66547300,220.317209,+39.665473,1,+,6,J144116.13+393955.7,,2003.2260,3,24.180,0.987,24.345,0.482,22.074,0.132,21.246,0.089,21.672,0.492,,,,
220.32105000,+39.66389700,220.321050,+39.663897,1,+,6,J144117.05+393950.0,,2003.2260,3,24.024,0.861,23.808,0.313,22.343,0.155,22.435,0.229,22.767,0.714,,,,
220.31524800,+39.66269700,220.315248,+39.662697,1,,6,J144115.65+393945.7,,2003.2260,3,25.243,0.925,23.520,0.279,22.837,0.264,22.305,0.230,22.397,0.757,,,,
220.31894600,+39.66000600,220.318946,+39.660006,1,+,3,J144116.54+393936.0,,2003.2260,3,26.141,0.904,21.734,0.110,20.888,0.085,20.577,0.096,20.694,0.448,,0.3021,0.1191,0.2367
220.30892900,+39.64055900,220.308929,+39.640559,1,+,6,J144114.14+393826.0,,2003.2260,3,25.516,0.754,22.955,0.168,22.376,0.169,22.108,0.188,21.732,0.505,,,,
220.32441100,+39.66304400,220.324411,+39.663044,1,,3,J144117.85+393946.9,,2003.2260,3,23.296,0.670,22.748,0.166,22.658,0.253,21.485,0.129,21.018,0.352,,0.7371,0.1204,0.7045
220.31296900,+39.63951800,220.312969,+39.639518,1,+,3,J144115.11+393822.2,*,2003.2260,3,22.132,0.452,22.128,0.179,21.371,0.150,20.997,0.157,21.766,1.206,,0.9748,0.1077,0.2146
220.32515100,+39.65646400,220.325151,+39.656464,1,+,3,J144118.03+393923.2,,2003.2260,3,21.807,0.245,21.479,0.072,20.460,0.048,20.046,0.048,20.095,0.210,,0.4526,0.0896,0.4604
220.31804100,+39.64063800,220.318041,+39.640638,1,+,6,J144116.32+393826.2,,2003.2260,3,25.149,0.860,23.136,0.183,22.422,0.165,21.733,0.125,23.017,0.700,,,,
220.33105500,+39.65116300,220.331055,+39.651163,1,+,3,J144119.45+393904.1,*,2003.2260,3,23.551,1.036,22.192,0.133,20.544,0.051,19.927,0.043,19.588,0.133,,0.3801,0.0434,0.3853
220.33313200,+39.65242100,220.333132,+39.652421,1,+,3,J144119.95+393908.7,,2003.2260,3,23.858,0.880,23.043,0.185,22.261,0.157,22.297,0.227,22.333,0.726,,0.2938,0.0881,0.3073
220.33056800,+39.64700900,220.330568,+39.647009,1,+,3,J144119.33+393849.2,,2003.2260,3,22.912,0.492,22.466,0.129,21.919,0.132,22.061,0.212,20.465,0.214,,-9999.0000,-9999.0000,0.4109
220.32974100,+39.64126100,220.329741,+39.641261,1,+,3,J144119.13+393828.5,,2003.2260,3,22.276,0.316,22.169,0.111,21.329,0.087,20.914,0.087,20.702,0.292,,0.4800,0.0845,0.4884
220.32005400,+39.63994300,220.320054,+39.639943,1,+,3,J144116.81+393823.7,,2003.2260,3,26.163,0.709,23.612,0.450,21.970,0.179,22.127,0.301,22.605,1.248,,0.4106,0.1137,0.2348
220.28131500,+39.65059900,220.281315,+39.650599,1,+,6,J144107.51+393902.1,*,2003.2260,3,22.680,0.345,19.636,0.013,18.246,0.007,17.078,0.005,16.446,0.009,,,,
220.28151900,+39.65286800,220.281519,+39.652868,1,,6,J144107.56+393910.3,,2003.2260,3,24.861,0.902,24.381,0.451,22.939,0.255,21.607,0.111,20.894,0.239,,,,
220.28149700,+39.65030600,220.281497,+39.650306,1,,6,J144107.55+393901.1,,2003.2260,3,22.584,0.300,25.113,0.713,24.802,1.016,24.362,1.066,22.762,0.732,,,,
